station_id,timestamp_min,latitude,longitude,temperature_c,humidity_pct,wind_speed_kmph,wind_dir_deg,pressure_hpa
WX_NORTH,0,13.0653,80.209,29.2,81.3,18.0,224,1007.3
WX_NORTH,5,13.0653,80.209,29.1,82.0,13.7,218,1006.9
WX_NORTH,10,13.0653,80.209,29.0,81.3,17.6,212,1007.1
WX_NORTH,15,13.0653,80.209,28.7,83.1,21.5,221,1007.0
WX_NORTH,20,13.0653,80.209,28.6,84.9,18.1,215,1006.7
WX_NORTH,25,13.0653,80.209,28.3,85.8,19.2,210,1005.9
WX_NORTH,30,13.0653,80.209,28.0,86.2,23.6,229,1006.0
WX_NORTH,35,13.0653,80.209,28.1,86.6,19.1,222,1005.6
WX_NORTH,40,13.0653,80.209,27.3,88.4,23.8,227,1006.6
WX_NORTH,45,13.0653,80.209,27.2,90.8,27.3,227,1005.1
WX_NORTH,50,13.0653,80.209,27.3,90.5,27.2,225,1004.1
WX_NORTH,55,13.0653,80.209,27.0,93.0,24.7,228,1005.0
WX_NORTH,60,13.0653,80.209,26.5,93.8,28.5,230,1003.9
WX_NORTH,65,13.0653,80.209,26.6,94.7,28.8,228,1004.1
WX_NORTH,70,13.0653,80.209,26.5,96.0,31.1,231,1004.3
WX_NORTH,75,13.0653,80.209,26.4,97.1,33.0,236,1004.0
WX_NORTH,80,13.0653,80.209,26.1,97.6,32.5,237,1003.7
WX_NORTH,85,13.0653,80.209,26.0,98.3,32.9,228,1003.4
WX_NORTH,90,13.0653,80.209,25.8,98.4,33.0,238,1003.6
WX_NORTH,95,13.0653,80.209,26.2,97.4,31.7,233,1003.5
WX_NORTH,100,13.0653,80.209,26.0,96.6,35.0,222,1003.4
WX_NORTH,105,13.0653,80.209,26.1,97.5,31.8,240,1003.0
WX_NORTH,110,13.0653,80.209,26.6,96.4,27.5,216,1004.2
WX_NORTH,115,13.0653,80.209,26.6,94.6,28.8,224,1004.5
WX_NORTH,120,13.0653,80.209,26.8,94.7,32.2,211,1004.3
WX_NORTH,125,13.0653,80.209,27.0,93.1,26.3,215,1004.9
WX_NORTH,130,13.0653,80.209,26.9,91.4,25.4,224,1005.5
WX_NORTH,135,13.0653,80.209,27.1,89.6,27.9,219,1006.2
WX_NORTH,140,13.0653,80.209,27.8,88.0,21.5,228,1005.0
WX_NORTH,145,13.0653,80.209,28.1,88.1,20.3,215,1005.9
WX_NORTH,150,13.0653,80.209,27.8,85.2,21.8,220,1006.3
WX_NORTH,155,13.0653,80.209,28.0,85.7,22.6,213,1006.6
WX_NORTH,160,13.0653,80.209,28.6,83.8,16.5,214,1007.1
WX_NORTH,165,13.0653,80.209,28.5,82.1,18.4,235,1006.6
WX_NORTH,170,13.0653,80.209,28.9,82.7,19.2,208,1006.7
WX_NORTH,175,13.0653,80.209,28.8,80.5,12.3,219,1006.9
WX_NORTH,180,13.0653,80.209,29.1,80.5,15.7,219,1007.5
WX_SOUTH,0,13.0527,80.209,28.8,79.9,16.2,209,1007.7
WX_SOUTH,5,13.0527,80.209,28.9,81.5,19.6,223,1007.8
WX_SOUTH,10,13.0527,80.209,29.1,82.5,17.6,208,1006.8
WX_SOUTH,15,13.0527,80.209,28.4,83.6,16.1,214,1006.4
WX_SOUTH,20,13.0527,80.209,28.7,83.9,19.7,211,1006.6
WX_SOUTH,25,13.0527,80.209,28.1,84.4,17.6,237,1006.4
WX_SOUTH,30,13.0527,80.209,28.1,87.0,20.6,212,1005.7
WX_SOUTH,35,13.0527,80.209,27.6,87.3,22.5,215,1005.7
WX_SOUTH,40,13.0527,80.209,27.5,88.4,26.2,225,1005.7
WX_SOUTH,45,13.0527,80.209,27.5,90.7,22.7,234,1005.5
WX_SOUTH,50,13.0527,80.209,27.1,91.9,26.4,226,1004.5
WX_SOUTH,55,13.0527,80.209,27.1,93.1,28.3,222,1004.3
WX_SOUTH,60,13.0527,80.209,26.9,93.6,34.1,232,1004.0
WX_SOUTH,65,13.0527,80.209,26.5,94.5,28.3,232,1005.0
WX_SOUTH,70,13.0527,80.209,26.6,95.9,31.6,224,1003.6
WX_SOUTH,75,13.0527,80.209,26.0,96.4,33.0,217,1003.0
WX_SOUTH,80,13.0527,80.209,25.8,97.6,33.4,234,1003.6
WX_SOUTH,85,13.0527,80.209,25.8,98.3,32.1,236,1003.8
WX_SOUTH,90,13.0527,80.209,26.0,97.6,36.9,242,1003.6
WX_SOUTH,95,13.0527,80.209,26.0,98.1,34.8,234,1003.8
WX_SOUTH,100,13.0527,80.209,26.3,97.2,34.0,232,1003.3
WX_SOUTH,105,13.0527,80.209,26.5,96.5,35.4,233,1003.6
WX_SOUTH,110,13.0527,80.209,26.3,95.7,30.6,228,1003.5
WX_SOUTH,115,13.0527,80.209,26.7,94.7,33.1,239,1003.6
WX_SOUTH,120,13.0527,80.209,26.6,95.0,32.1,227,1004.8
WX_SOUTH,125,13.0527,80.209,26.9,92.4,27.0,222,1005.1
WX_SOUTH,130,13.0527,80.209,26.9,92.4,26.4,211,1004.7
WX_SOUTH,135,13.0527,80.209,27.5,89.2,27.6,223,1005.0
WX_SOUTH,140,13.0527,80.209,27.9,89.3,21.4,225,1005.0
WX_SOUTH,145,13.0527,80.209,27.7,88.2,23.8,225,1006.1
WX_SOUTH,150,13.0527,80.209,28.1,85.5,21.9,220,1006.1
WX_SOUTH,155,13.0527,80.209,28.1,85.9,19.4,221,1005.9
WX_SOUTH,160,13.0527,80.209,28.2,83.9,17.4,212,1006.5
WX_SOUTH,165,13.0527,80.209,28.6,83.9,20.7,211,1006.7
WX_SOUTH,170,13.0527,80.209,28.8,82.5,16.2,194,1007.4
WX_SOUTH,175,13.0527,80.209,29.1,82.3,18.6,195,1006.8
WX_SOUTH,180,13.0527,80.209,29.0,80.7,14.4,217,1007.1
