timestamp,cell_id,latitude,longitude,rainfall_mm,rainfall_rate_mm_hr
0,C001,13.0827,80.2707,0.0,0.0
0,C002,13.0827,80.2717,0.0,0.0
0,C003,13.0827,80.2727,0.0,0.0
0,C004,13.0827,80.2737,0.0,0.0
0,C005,13.0827,80.2747,0.0,0.0
0,C006,13.0827,80.2757,0.0,0.0
0,C007,13.0827,80.2767,0.0,0.0
0,C008,13.0827,80.2777,0.0,0.0
0,C009,13.0827,80.2787,0.0,0.0
0,C010,13.0827,80.2797,0.0,0.0
0,C011,13.0837,80.2707,0.0,0.0
0,C012,13.0837,80.2717,0.0,0.0
0,C013,13.0837,80.2727,0.0,0.0
0,C014,13.0837,80.2737,0.0,0.0
0,C015,13.0837,80.2747,0.0,0.0
0,C016,13.0837,80.2757,0.0,0.0
0,C017,13.0837,80.2767,0.0,0.0
0,C018,13.0837,80.2777,0.0,0.0
0,C019,13.0837,80.2787,0.0,0.0
0,C020,13.0837,80.2797,0.0,0.0
0,C021,13.0847,80.2707,0.0,0.0
0,C022,13.0847,80.2717,0.0,0.0
0,C023,13.0847,80.2727,0.0,0.0
0,C024,13.0847,80.2737,0.0,0.0
0,C025,13.0847,80.2747,0.0,0.0
0,C026,13.0847,80.2757,0.0,0.0
0,C027,13.0847,80.2767,0.0,0.0
0,C028,13.0847,80.2777,0.0,0.0
0,C029,13.0847,80.2787,0.0,0.0
0,C030,13.0847,80.2797,0.0,0.0
0,C031,13.0857,80.2707,0.0,0.0
0,C032,13.0857,80.2717,0.0,0.0
0,C033,13.0857,80.2727,0.0,0.0
0,C034,13.0857,80.2737,0.0,0.0
0,C035,13.0857,80.2747,0.0,0.0
0,C036,13.0857,80.2757,0.0,0.0
0,C037,13.0857,80.2767,0.0,0.0
0,C038,13.0857,80.2777,0.0,0.0
0,C039,13.0857,80.2787,0.0,0.0
0,C040,13.0857,80.2797,0.0,0.0
0,C041,13.0867,80.2707,0.0,0.0
0,C042,13.0867,80.2717,0.0,0.0
0,C043,13.0867,80.2727,0.0,0.0
0,C044,13.0867,80.2737,0.0,0.0
0,C045,13.0867,80.2747,0.0,0.0
0,C046,13.0867,80.2757,0.0,0.0
0,C047,13.0867,80.2767,0.0,0.0
0,C048,13.0867,80.2777,0.0,0.0
0,C049,13.0867,80.2787,0.0,0.0
0,C050,13.0867,80.2797,0.0,0.0
0,C051,13.0877,80.2707,0.0,0.0
0,C052,13.0877,80.2717,0.0,0.0
0,C053,13.0877,80.2727,0.0,0.0
0,C054,13.0877,80.2737,0.0,0.0
0,C055,13.0877,80.2747,0.0,0.0
0,C056,13.0877,80.2757,0.0,0.0
0,C057,13.0877,80.2767,0.0,0.0
0,C058,13.0877,80.2777,0.0,0.0
0,C059,13.0877,80.2787,0.0,0.0
0,C060,13.0877,80.2797,0.0,0.0
0,C061,13.0887,80.2707,0.0,0.0
0,C062,13.0887,80.2717,0.0,0.0
0,C063,13.0887,80.2727,0.0,0.0
0,C064,13.0887,80.2737,0.0,0.0
0,C065,13.0887,80.2747,0.0,0.0
0,C066,13.0887,80.2757,0.0,0.0
0,C067,13.0887,80.2767,0.0,0.0
0,C068,13.0887,80.2777,0.0,0.0
0,C069,13.0887,80.2787,0.0,0.0
0,C070,13.0887,80.2797,0.0,0.0
0,C071,13.0897,80.2707,0.0,0.0
0,C072,13.0897,80.2717,0.0,0.0
0,C073,13.0897,80.2727,0.0,0.0
0,C074,13.0897,80.2737,0.0,0.0
0,C075,13.0897,80.2747,0.0,0.0
0,C076,13.0897,80.2757,0.0,0.0
0,C077,13.0897,80.2767,0.0,0.0
0,C078,13.0897,80.2777,0.0,0.0
0,C079,13.0897,80.2787,0.0,0.0
0,C080,13.0897,80.2797,0.0,0.0
0,C081,13.0907,80.2707,0.0,0.0
0,C082,13.0907,80.2717,0.0,0.0
0,C083,13.0907,80.2727,0.0,0.0
0,C084,13.0907,80.2737,0.0,0.0
0,C085,13.0907,80.2747,0.0,0.0
0,C086,13.0907,80.2757,0.0,0.0
0,C087,13.0907,80.2767,0.0,0.0
0,C088,13.0907,80.2777,0.0,0.0
0,C089,13.0907,80.2787,0.0,0.0
0,C090,13.0907,80.2797,0.0,0.0
0,C091,13.0917,80.2707,0.0,0.0
0,C092,13.0917,80.2717,0.0,0.0
0,C093,13.0917,80.2727,0.0,0.0
0,C094,13.0917,80.2737,0.0,0.0
0,C095,13.0917,80.2747,0.0,0.0
0,C096,13.0917,80.2757,0.0,0.0
0,C097,13.0917,80.2767,0.0,0.0
0,C098,13.0917,80.2777,0.0,0.0
0,C099,13.0917,80.2787,0.0,0.0
0,C100,13.0917,80.2797,0.0,0.0
900,C001,13.0827,80.2707,2.9,11.6
900,C002,13.0827,80.2717,2.9,11.6
900,C003,13.0827,80.2727,2.9,11.6
900,C004,13.0827,80.2737,2.9,11.6
900,C005,13.0827,80.2747,2.9,11.6
900,C006,13.0827,80.2757,2.9,11.6
900,C007,13.0827,80.2767,2.9,11.6
900,C008,13.0827,80.2777,2.9,11.6
900,C009,13.0827,80.2787,2.9,11.6
900,C010,13.0827,80.2797,2.9,11.6
900,C011,13.0837,80.2707,2.9,11.6
900,C012,13.0837,80.2717,2.9,11.6
900,C013,13.0837,80.2727,2.9,11.6
900,C014,13.0837,80.2737,2.9,11.6
900,C015,13.0837,80.2747,2.9,11.6
900,C016,13.0837,80.2757,2.9,11.6
900,C017,13.0837,80.2767,2.9,11.6
900,C018,13.0837,80.2777,2.9,11.6
900,C019,13.0837,80.2787,2.9,11.6
900,C020,13.0837,80.2797,2.9,11.6
900,C021,13.0847,80.2707,2.9,11.6
900,C022,13.0847,80.2717,2.9,11.6
900,C023,13.0847,80.2727,2.9,11.6
900,C024,13.0847,80.2737,2.9,11.6
900,C025,13.0847,80.2747,2.9,11.6
900,C026,13.0847,80.2757,2.9,11.6
900,C027,13.0847,80.2767,2.9,11.6
900,C028,13.0847,80.2777,2.9,11.6
900,C029,13.0847,80.2787,2.9,11.6
900,C030,13.0847,80.2797,2.9,11.6
900,C031,13.0857,80.2707,2.9,11.6
900,C032,13.0857,80.2717,2.9,11.6
900,C033,13.0857,80.2727,2.9,11.6
900,C034,13.0857,80.2737,2.9,11.6
900,C035,13.0857,80.2747,2.9,11.6
900,C036,13.0857,80.2757,2.9,11.6
900,C037,13.0857,80.2767,2.9,11.6
900,C038,13.0857,80.2777,2.9,11.6
900,C039,13.0857,80.2787,2.9,11.6
900,C040,13.0857,80.2797,2.9,11.6
900,C041,13.0867,80.2707,2.9,11.6
